HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Doctors Medical Center,Multan,Gillani Colony,"Doctors Medical Center, Suraj Miani Road, Gillani Colony, Gillani Colony, Multan",1,3336472567
Le Lotus Clinique Hospital,Multan,Gillani Colony,"Le Lotus Clinique Hospital, Al Mustafa House, Ghaus E Azam Road, Gulistan E Zuhra, Gillani Colony, Multan",1,3444455858
Ali Childers Hospital,Multan,Green Homes Colony,"Ali Childers Hospital, Nawabpur Road, Green Homes Colony, Multan",-,3216348344
Ashraf Diagnostic Center,Multan,Green Town,"Ashraf Diagnostic Center, Near Pul Wasil Opposite Pso Petrol Station, Green Town, Multan",1,3136534749
Laeeq Rafique Hospital,Multan,Gulabi Wala,"Laeeq Rafique Hospital, Yaqoob Center, Shara-E-Rashid, Gulabi Wala, Multan",1,616529860
Abdullah Clinic,Multan,Gulgasht,"Abdullah Clinic, 509/C, Near Bata Chowk, Gulgasht, Multan",-,3145669905
Shaheena Hashmi Polyclinic,Multan,Gulgasht Colony,"Shaheena Hashmi Polyclinic, North Gulgasht Blvd, Gulgasht Colony, Multan",2,042-32591427
The Agha Khan University Hospital (Medical Center),Multan,Gulgasht Colony,"The Agha Khan University Hospital (Medical Center), Bosan Road, Gulgasht Colony, Multan",-,(061) 6211193
Hashmi Homeopathy Medical Services Hospital,Multan,Gulgasht Colony,"Hashmi Homeopathy Medical Services Hospital, Bata Chock Near Haideria Masjid, Gulgasht Colony, Multan",-,3336052350
City Skin Clinic,Multan,Gulgasht Colony,"City Skin Clinic, 29-A, Opposite Burger King /Pizza Hut, Gulgasht Colony, Multan",-,061 6522340
Royal Institute Of Medical Sciences (Rims) Hospital,Multan,Gulgasht Colony,"Royal Institute Of Medical Sciences (Rims) Hospital, Bosan Road, A Block, Gulgasht Colony, Multan",-,3455142020
Muscat Dental Clinics Gulgasht Multan,Multan,Gulgasht Colony,"Muscat Dental Clinics Gulgasht Multan, 11B Shaheena Avenue North Gulgasht Multan Near Nafees Hospital, Gulgasht Colony, Multan",2,3002387934
Faisal Acupuncture And Physiotherapy Center,Multan,Gulgasht Colony,"Faisal Acupuncture And Physiotherapy Center, Near National Bank Chungi No. 5 Gulgasht Colony Nawabpur Road, Gulgasht Colony, Multan",1,3052258725
Hanif Memorial Clinic,Multan,Gulgasht Colony,"Hanif Memorial Clinic, 486 C, Near Ladies Park Mubeen Market, Gulgasht Colony, Multan",-,3017432287
Al Asr Medicare Clinic,Multan,Gulgasht Colony,"Al Asr Medicare Clinic, 795 C Bata Chowk Near Water Filter Plant Of Gulgasht, Gulgasht Colony, Multan",1,3240488592
Zeenat Javed Medical Complex Hospital,Multan,Gulgasht Colony,"Zeenat Javed Medical Complex Hospital, 268-B, Near Chungi No. 6, Bosan Road, Gulgasht Colony, Multan",3,3008689722
Ahmad Gynae Care Clinic,Multan,Gulgasht Colony,"Ahmad Gynae Care Clinic, House No 206/6 Hbl Street Neel Kot Branch, Bosan Rd, North, Gulgasht Colony, Multan",1,3006357703
